Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
10/01/2017 00:00:01,6,1.0280,0.9611,1.0011,28.0310,28.0025,38.7766,38.7767,6.6648,6.6656,53.9893,53.9840,0.0022,0.0022
10/01/2017 02:00:07,6,1.0317,0.9656,1.0051,27.5411,27.5081,38.7293,38.7298,6.6015,6.6030,53.5960,53.5945,0.0023,0.0023
10/01/2017 04:00:01,6,1.0313,0.9677,1.0056,26.8619,26.8275,38.7232,38.7241,6.5913,6.5926,53.4622,53.4597,0.0023,0.0023
10/01/2017 06:00:00,6,1.0298,0.9684,1.0049,26.5139,26.4836,38.7320,38.7331,6.5164,6.5171,53.1342,53.1306,0.0024,0.0024
10/01/2017 08:00:01,6,1.0276,0.9682,1.0035,26.6175,26.6123,38.7481,38.7497,6.5358,6.5380,52.8723,52.8675,0.0024,0.0024
10/01/2017 10:00:07,6,1.0256,0.9675,1.0020,27.1773,27.2531,38.7663,38.7712,6.5865,6.6022,52.6163,52.5923,0.0024,0.0023
10/01/2017 12:00:01,6,1.0235,0.9665,1.0003,27.9548,28.2673,38.7841,38.7987,6.6106,6.6831,52.3568,52.2418,0.0023,0.0022
10/01/2017 14:00:04,6,1.0201,0.9653,0.9977,28.8570,29.2627,38.8060,38.8271,6.6325,6.7833,52.1083,51.9381,0.0023,0.0020
10/01/2017 16:00:08,6,1.0160,0.9635,0.9945,29.6389,29.7018,38.8376,38.8471,6.7270,6.8195,51.9157,51.8780,0.0021,0.0019
10/01/2017 18:00:07,6,1.0131,0.9619,0.9921,29.6200,29.5869,38.8632,38.8648,6.7702,6.7707,51.9393,51.9417,0.0020,0.0020
10/01/2017 20:00:06,6,1.0150,0.9621,0.9934,29.0023,28.9635,38.8776,38.8787,6.6610,6.6612,51.9990,52.0003,0.0021,0.0021
10/01/2017 22:00:05,6,1.0239,0.9659,1.0003,28.3328,28.2954,38.8814,38.8824,6.4775,6.4785,51.9315,51.9295,0.0024,0.0024
11/01/2017 00:00:02,6,1.0339,0.9713,1.0086,28.0061,27.9717,38.9007,38.9016,6.5714,6.5750,51.6364,51.6334,0.0023,0.0023
11/01/2017 02:00:05,6,1.0390,0.9760,1.0135,27.4810,27.4496,38.8906,38.8909,6.5842,6.5853,51.4107,51.4083,0.0021,0.0021
11/01/2017 04:00:01,6,1.0399,0.9787,1.0151,27.0570,27.0316,38.8604,38.8603,6.4958,6.4969,51.1726,51.1683,0.0022,0.0022
11/01/2017 06:00:06,6,1.0384,0.9799,1.0146,26.8327,26.8077,38.8298,38.8299,6.4118,6.4134,50.9333,50.9304,0.0023,0.0023
11/01/2017 08:00:07,6,1.0362,0.9800,1.0133,26.8840,26.9041,38.8095,38.8099,6.4616,6.4807,50.8255,50.8208,0.0023,0.0022
11/01/2017 10:00:07,6,1.0331,0.9791,1.0111,27.1991,27.7640,38.7999,38.8072,6.4115,6.6679,50.8396,50.8105,0.0024,0.0020
11/01/2017 12:00:05,6,1.0297,0.9775,1.0083,27.6795,28.8298,38.7984,38.8178,6.2197,6.8172,50.9045,50.8670,0.0027,0.0018
11/01/2017 14:00:05,6,1.0261,0.9746,1.0050,28.5107,29.5274,38.8072,38.8331,6.1178,6.8790,50.9832,50.9651,0.0028,0.0016
11/01/2017 16:00:01,6,1.0241,0.9721,1.0028,29.5421,29.7416,38.8338,38.8472,6.4934,6.7489,51.0655,51.0643,0.0021,0.0017
11/01/2017 18:00:01,6,1.0231,0.9707,1.0016,29.5262,29.4889,38.8565,38.8581,6.6025,6.6030,51.1533,51.1562,0.0018,0.0018
11/01/2017 20:00:00,6,1.0251,0.9710,1.0030,28.8928,28.8492,38.8697,38.8711,6.5018,6.5028,51.2474,51.2498,0.0019,0.0019
11/01/2017 22:00:05,6,1.0318,0.9739,1.0083,28.3978,28.3569,38.8776,38.8789,6.4170,6.4189,51.3410,51.3435,0.0022,0.0022
12/01/2017 00:00:07,6,1.0422,0.9790,1.0167,28.0984,28.0577,38.8859,38.8871,6.5216,6.5250,51.4903,51.4934,0.0021,0.0021
12/01/2017 02:00:05,6,1.0505,0.9853,1.0242,27.5119,27.4779,38.8752,38.8760,6.5314,6.5327,51.5779,51.5787,0.0019,0.0019
12/01/2017 04:00:01,6,1.0517,0.9888,1.0263,27.1543,27.1212,38.8697,38.8705,6.4911,6.4925,51.5931,51.5939,0.0020,0.0020
12/01/2017 06:00:02,6,1.0508,0.9901,1.0262,26.6556,26.6194,38.8770,38.8781,6.4724,6.4742,51.6755,51.6775,0.0020,0.0020
12/01/2017 08:00:07,6,1.0493,0.9896,1.0251,26.4719,26.4581,38.8945,38.8963,6.5834,6.5865,51.7594,51.7615,0.0020,0.0020
12/01/2017 10:00:02,6,1.0490,0.9887,1.0245,26.8870,26.8968,38.9304,38.9338,6.6847,6.6874,51.7933,51.7947,0.0019,0.0019
12/01/2017 12:00:00,6,1.0473,0.9882,1.0233,27.6911,27.7207,38.9884,38.9936,6.7217,6.7252,51.7412,51.7393,0.0019,0.0019
12/01/2017 14:00:07,6,1.0434,0.9866,1.0203,28.5031,28.5213,39.0529,39.0583,6.7250,6.7291,51.6181,51.6139,0.0019,0.0019
12/01/2017 16:00:03,6,1.0389,0.9840,1.0165,28.9484,28.9296,39.1140,39.1177,6.7120,6.7137,51.5131,51.5124,0.0019,0.0019
12/01/2017 18:00:05,6,1.0349,0.9820,1.0132,28.8534,28.8150,39.1624,39.1648,6.7110,6.7120,51.4757,51.4771,0.0019,0.0019
12/01/2017 20:00:07,6,1.0323,0.9799,1.0108,28.2058,28.1551,39.2043,39.2065,6.6491,6.6498,51.4887,51.4907,0.0020,0.0020
12/01/2017 22:00:05,6,1.0346,0.9794,1.0121,27.3890,27.3338,39.2539,39.2564,6.5285,6.5295,51.4780,51.4799,0.0023,0.0023
13/01/2017 00:00:01,6,1.0373,0.9808,1.0142,26.5511,26.4948,39.3063,39.3086,6.4600,6.4613,51.4442,51.4464,0.0024,0.0023
13/01/2017 02:00:00,6,1.0349,0.9809,1.0128,25.7136,25.6605,39.3521,39.3542,6.4279,6.4289,51.4480,51.4511,0.0024,0.0024
13/01/2017 04:00:06,6,1.0312,0.9801,1.0102,24.9323,24.8832,39.3861,39.3878,6.3930,6.3936,51.5155,51.5186,0.0024,0.0024
13/01/2017 06:00:08,6,1.0257,0.9777,1.0059,24.2788,24.2380,39.4066,39.4079,6.3465,6.3471,51.6381,51.6408,0.0026,0.0026
13/01/2017 08:00:00,6,1.0200,0.9747,1.0012,24.0001,23.9783,39.4092,39.4108,6.3472,6.3480,52.0613,52.0783,0.0026,0.0026
13/01/2017 10:00:04,6,1.0146,0.9716,0.9966,24.2229,24.2396,39.3869,39.3886,6.2295,6.2309,54.1435,54.2568,0.0026,0.0026
13/01/2017 12:00:09,6,1.0094,0.9679,0.9920,24.9263,25.1301,39.3378,39.3383,6.1059,6.1241,59.7126,60.3662,0.0027,0.0027
13/01/2017 14:00:03,6,1.0040,0.9637,0.9871,25.8227,26.7289,39.2792,39.2479,5.9562,6.0873,67.2161,73.0395,0.0029,0.0028
13/01/2017 16:00:07,6,0.9988,0.9593,0.9821,26.7963,27.6969,39.2193,39.1590,5.8204,6.0375,76.1809,86.2740,0.0031,0.0030
13/01/2017 18:00:05,6,0.9948,0.9556,0.9781,27.6289,27.6168,39.1367,39.1370,5.9557,5.9723,91.7878,92.2669,0.0031,0.0031
13/01/2017 20:00:03,6,0.9919,0.9524,0.9752,27.1758,27.1315,39.1652,39.1671,5.9445,5.9452,93.4376,93.4502,0.0032,0.0032
13/01/2017 22:00:01,6,0.9882,0.9490,0.9716,26.4351,26.3916,39.1769,39.1784,5.8666,5.8669,95.2132,95.2484,0.0035,0.0035
14/01/2017 00:00:03,6,0.9865,0.9468,0.9697,25.6779,25.6314,39.1749,39.1764,5.8071,5.8076,97.9152,97.9473,0.0039,0.0039
14/01/2017 02:00:02,6,0.9826,0.9437,0.9661,24.9006,24.8545,39.1828,39.1843,5.7757,5.7762,99.6562,99.6760,0.0043,0.0043
14/01/2017 04:00:02,6,0.9791,0.9406,0.9626,24.1217,24.0746,39.1959,39.1974,5.7629,5.7633,100.8205,100.8398,0.0046,0.0046
14/01/2017 06:00:04,6,0.9747,0.9376,0.9585,23.2992,23.2525,39.2073,39.2089,5.7928,5.7933,102.3131,102.3382,0.0048,0.0048
14/01/2017 08:00:03,6,0.9694,0.9334,0.9535,22.8250,22.8015,39.2184,39.2201,5.8932,5.8938,103.9910,104.0157,0.0047,0.0047
14/01/2017 10:00:03,6,0.9641,0.9290,0.9485,23.2140,23.2364,39.2337,39.2357,5.9947,5.9956,105.4077,105.4337,0.0045,0.0045
14/01/2017 12:00:00,6,0.9583,0.9236,0.9429,24.4203,24.4774,39.2513,39.2539,6.0561,6.0597,106.6999,106.7525,0.0043,0.0043
14/01/2017 14:00:00,6,0.9533,0.9185,0.9379,26.1026,26.2301,39.2735,39.2777,6.1360,6.1508,108.6435,108.8776,0.0041,0.0041
14/01/2017 16:00:07,6,0.9493,0.9143,0.9339,27.5889,27.7611,39.2858,39.2910,6.1739,6.1987,111.3288,111.6806,0.0038,0.0038
14/01/2017 18:00:07,6,0.9462,0.9108,0.9306,28.4044,28.6217,39.2785,39.2873,6.1723,6.2172,113.7971,114.3434,0.0037,0.0036
14/01/2017 20:00:00,6,0.9423,0.9069,0.9268,28.3274,28.3372,39.2931,39.2955,6.1507,6.1734,115.4424,115.6517,0.0037,0.0036
14/01/2017 22:00:04,6,0.9396,0.9038,0.9239,27.6814,27.6534,39.2967,39.2974,6.0781,6.0826,116.0859,116.1179,0.0039,0.0039
15/01/2017 00:00:05,6,0.9403,0.9023,0.9240,26.8496,26.8049,39.3029,39.3045,5.9518,5.9523,116.3945,116.4022,0.0043,0.0043
15/01/2017 02:00:02,6,0.9403,0.9014,0.9238,25.9171,25.8747,39.3237,39.3252,5.8259,5.8255,116.2690,116.2695,0.0048,0.0048
15/01/2017 04:00:07,6,0.9368,0.8987,0.9205,25.1249,25.0882,39.3416,39.3427,5.7135,5.7133,115.9260,115.9253,0.0052,0.0052
15/01/2017 06:00:06,6,0.9340,0.8959,0.9177,24.5309,24.5025,39.3502,39.3507,5.6084,5.6084,115.7498,115.7499,0.0056,0.0056
15/01/2017 08:00:02,6,0.9306,0.8931,0.9145,24.2977,24.2988,39.3542,39.3554,5.5414,5.5419,115.8401,115.8460,0.0055,0.0055
15/01/2017 10:00:08,6,0.9259,0.8893,0.9100,24.7951,24.8463,39.3672,39.3692,5.5529,5.5561,116.1483,116.1636,0.0052,0.0052
15/01/2017 12:00:00,6,0.9225,0.8860,0.9067,26.2088,26.7641,39.3728,39.3787,5.5717,5.6307,116.4755,116.7704,0.0049,0.0049
15/01/2017 14:00:05,6,0.9187,0.8814,0.9026,27.2356,28.2749,39.2906,39.1245,5.5679,5.8234,117.7985,119.9248,0.0047,0.0045
15/01/2017 16:00:07,6,0.9220,0.8795,0.9043,27.1201,27.4502,39.3231,39.3598,5.2987,5.4884,117.9986,118.0307,0.0049,0.0047
15/01/2017 18:00:00,6,0.9221,0.8793,0.9042,26.8830,26.8766,39.3520,39.3564,5.0800,5.0978,118.2723,118.2713,0.0052,0.0052
15/01/2017 20:00:00,6,0.9225,0.8792,0.9044,26.5145,26.4939,39.3612,39.3626,4.9978,4.9989,118.6789,118.6898,0.0054,0.0054
15/01/2017 22:00:01,6,0.9283,0.8814,0.9089,26.2702,26.2507,39.3705,39.3719,4.9573,4.9598,119.0861,119.0940,0.0057,0.0057
16/01/2017 00:00:00,6,0.9344,0.8844,0.9139,25.9739,25.9441,39.3841,39.3849,4.9117,4.9122,119.2742,119.2778,0.0060,0.0060
16/01/2017 02:00:05,6,0.9388,0.8877,0.9179,25.5929,25.5677,39.3960,39.3965,4.8409,4.8413,119.2555,119.2570,0.0063,0.0063
16/01/2017 04:00:03,6,0.9433,0.8908,0.9218,25.2893,25.2613,39.4056,39.4062,4.7693,4.7703,119.1921,119.1934,0.0066,0.0065
16/01/2017 06:00:05,6,0.9439,0.8925,0.9228,25.0934,25.0770,39.4194,39.4207,4.7326,4.7342,119.2195,119.2248,0.0068,0.0067
16/01/2017 08:00:01,6,0.9424,0.8929,0.9221,25.0897,25.0908,39.4368,39.4405,4.7624,4.7778,119.3275,119.3435,0.0065,0.0065
16/01/2017 10:00:06,6,0.9398,0.8920,0.9201,25.4057,25.6355,39.4530,39.4694,4.7785,4.9511,119.5597,119.6640,0.0064,0.0062
16/01/2017 12:00:04,6,0.9419,0.8919,0.9213,25.7378,27.6394,39.4526,39.1776,4.3743,5.4904,119.6264,123.7290,0.0070,0.0056
16/01/2017 14:00:02,6,0.9447,0.8924,0.9232,26.0704,29.4250,39.4526,39.4062,3.9923,5.5983,119.6312,122.3222,0.0076,0.0050
16/01/2017 16:00:06,6,0.9536,0.8952,0.9299,26.3991,28.5323,39.4547,39.5539,3.9498,5.4967,119.6851,119.9085,0.0075,0.0042
16/01/2017 18:00:00,6,0.9616,0.8996,0.9365,27.6727,28.7440,39.5144,39.6081,5.0163,5.8498,119.8259,120.0262,0.0050,0.0034
16/01/2017 20:00:03,6,0.9671,0.9047,0.9419,28.0457,28.0174,39.6165,39.6171,5.5172,5.5177,119.7514,119.7490,0.0041,0.0041
16/01/2017 22:00:06,6,0.9719,0.9092,0.9466,27.9232,27.9051,39.6563,39.6571,5.6059,5.6109,119.4085,119.4024,0.0038,0.0038
17/01/2017 00:00:03,6,0.9756,0.9129,0.9502,27.8334,27.8098,39.7016,39.7019,5.6963,5.6978,119.0101,119.0059,0.0036,0.0036
17/01/2017 02:00:05,6,0.9770,0.9150,0.9519,27.3504,27.3219,39.7029,39.7033,5.6452,5.6469,118.7543,118.7516,0.0036,0.0036
