Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
11/03/2017 00:00:07,2,1.0739,1.0349,1.0544,26.5835,26.5424,32.7503,32.7491,6.4492,6.4577,42.8738,42.8725,0.0073,0.0073
11/03/2017 02:00:02,2,1.0705,1.0314,1.0509,26.0504,26.0083,32.7419,32.7409,6.2157,6.2248,43.0159,43.0150,0.0074,0.0074
11/03/2017 04:00:00,2,1.0616,1.0226,1.0421,25.5076,25.4667,32.7358,32.7354,5.9769,5.9851,43.2075,43.2071,0.0074,0.0075
11/03/2017 06:00:06,2,1.0491,1.0100,1.0295,25.0153,24.9793,32.7263,32.7262,5.7450,5.7508,43.3705,43.3707,0.0075,0.0075
11/03/2017 08:00:06,2,1.0441,1.0050,1.0246,24.7332,24.7124,32.7146,32.7135,5.6673,5.6800,43.5008,43.4985,0.0075,0.0076
11/03/2017 10:00:01,2,1.0422,1.0031,1.0227,24.8289,25.1339,32.7354,32.6900,6.4539,5.9935,43.6396,43.5852,0.0072,0.0075
11/03/2017 12:00:08,2,1.0465,1.0076,1.0271,25.0252,26.4746,32.7643,32.6449,8.4171,6.3467,43.7763,43.6297,0.0067,0.0075
11/03/2017 14:00:04,2,1.0686,1.0295,1.0491,25.4044,27.3594,32.7753,32.6716,10.0946,6.5673,43.8808,43.7005,0.0063,0.0074
11/03/2017 16:00:07,2,1.0733,1.0342,1.0538,26.5089,27.5950,32.7402,32.7345,8.9962,7.0451,43.8936,43.7767,0.0066,0.0071
11/03/2017 18:00:08,2,1.0635,1.0245,1.0440,27.2176,27.1735,32.8283,32.8303,7.4025,7.4091,43.8036,43.8024,0.0069,0.0069
11/03/2017 20:00:06,2,1.0446,1.0055,1.0250,26.6478,26.6093,32.8860,32.8871,7.0878,7.0922,43.8439,43.8440,0.0069,0.0069
11/03/2017 22:00:09,2,1.0354,0.9964,1.0159,26.1731,26.1409,32.9126,32.9132,6.7902,6.7932,43.9077,43.9084,0.0069,0.0069
12/03/2017 00:00:09,2,1.0301,0.9911,1.0106,25.6714,25.6293,32.9040,32.9047,6.5448,6.5483,44.0275,44.0306,0.0070,0.0070
12/03/2017 02:00:09,2,1.0242,0.9852,1.0047,25.1381,25.0961,32.8559,32.8562,6.2643,6.2671,44.2223,44.2255,0.0071,0.0071
12/03/2017 04:00:07,2,1.0167,0.9776,0.9971,24.6550,24.6173,32.8002,32.8004,6.0027,6.0059,44.3618,44.3634,0.0073,0.0073
12/03/2017 06:00:06,2,1.0100,0.9709,0.9905,24.2111,24.1776,32.7581,32.7584,5.7620,5.7652,44.4478,44.4487,0.0074,0.0074
12/03/2017 08:00:04,2,1.0047,0.9656,0.9851,23.9531,23.9337,32.7239,32.7243,5.6799,5.6837,44.5114,44.5126,0.0075,0.0075
12/03/2017 10:00:03,2,1.0018,0.9627,0.9822,24.1429,24.5657,32.6857,32.6592,6.2633,5.9960,44.5570,44.5383,0.0073,0.0075
12/03/2017 12:00:01,2,1.0264,0.9872,1.0068,24.3481,26.9704,32.6902,32.4503,8.4816,6.3844,44.6384,44.5134,0.0068,0.0079
12/03/2017 14:00:05,2,1.0576,1.0185,1.0381,24.5441,28.8127,32.6903,32.3404,10.8030,6.6440,44.7142,44.6089,0.0063,0.0081
12/03/2017 16:00:04,2,1.0698,1.0307,1.0502,24.8607,27.7066,32.6635,32.5631,11.8066,6.6903,44.7696,44.7520,0.0060,0.0073
12/03/2017 18:00:05,2,1.0678,1.0288,1.0483,26.0285,27.3960,32.6439,32.7002,9.1964,7.2482,44.8628,44.9144,0.0065,0.0069
12/03/2017 20:00:03,2,1.0529,1.0139,1.0334,26.6459,26.6042,32.7721,32.7734,7.2649,7.2684,45.0171,45.0186,0.0068,0.0068
12/03/2017 22:00:04,2,1.0422,1.0031,1.0227,26.1295,26.0928,32.8207,32.8217,6.9411,6.9442,45.1143,45.1153,0.0069,0.0069
13/03/2017 00:00:04,2,1.0345,0.9955,1.0150,25.6382,25.6045,32.8372,32.8378,6.6716,6.6743,45.1980,45.1988,0.0069,0.0069
13/03/2017 02:00:05,2,1.0235,0.9845,1.0040,25.1550,25.1204,32.8229,32.8235,6.4394,6.4421,45.2780,45.2789,0.0070,0.0070
13/03/2017 04:00:07,2,1.0153,0.9763,0.9958,24.7217,24.6838,32.7823,32.7825,6.1966,6.1999,45.3674,45.3687,0.0071,0.0071
13/03/2017 06:00:07,2,1.0065,0.9675,0.9870,24.2778,24.2386,32.7035,32.7032,5.9859,5.9896,45.4232,45.4241,0.0073,0.0073
13/03/2017 08:00:07,2,1.0010,0.9619,0.9814,23.9301,23.9070,32.6142,32.6141,5.8097,5.8178,45.4591,45.4606,0.0075,0.0075
13/03/2017 10:00:09,2,1.0069,0.9679,0.9874,23.7979,23.7847,32.5552,32.5561,5.7564,5.7644,45.5102,45.5130,0.0076,0.0076
13/03/2017 12:00:01,2,1.0270,0.9878,1.0074,23.8699,24.5683,32.5527,32.5379,6.2988,5.9668,45.5817,45.6112,0.0074,0.0075
13/03/2017 14:00:08,2,1.0599,1.0208,1.0403,23.9614,26.0207,32.5818,32.4817,7.6980,6.1422,45.6412,45.6910,0.0069,0.0074
13/03/2017 16:00:06,2,1.0827,1.0434,1.0630,24.1169,27.7978,32.6221,32.4002,8.6052,6.1911,45.6724,45.7152,0.0067,0.0073
13/03/2017 18:00:05,2,1.0791,1.0400,1.0596,24.2219,26.8636,32.6527,32.3473,7.7821,6.2916,45.6690,45.7872,0.0068,0.0073
13/03/2017 20:00:02,2,1.0702,1.0310,1.0506,24.4317,25.3560,32.7874,32.3242,6.9675,6.4600,45.4785,45.9097,0.0070,0.0074
13/03/2017 22:00:03,2,1.0616,1.0224,1.0420,24.6232,24.5195,33.0198,32.3212,6.4534,6.7055,45.0243,46.0492,0.0071,0.0076
14/03/2017 00:00:05,2,1.0542,1.0151,1.0346,24.7667,24.1909,33.2821,32.5312,6.0250,6.9272,44.4046,45.9875,0.0071,0.0075
14/03/2017 02:00:06,2,1.0436,1.0045,1.0240,24.8065,24.2507,33.4956,32.8002,5.5356,6.5643,43.8150,45.7949,0.0071,0.0075
14/03/2017 04:00:03,2,1.0339,0.9948,1.0143,24.8123,24.1542,33.7215,32.8753,5.0739,6.2702,43.0335,45.8849,0.0071,0.0076
14/03/2017 06:00:02,2,1.0256,0.9865,1.0061,24.8010,24.0040,33.9278,32.9353,4.6648,5.9828,42.2347,45.9107,0.0070,0.0077
14/03/2017 08:00:00,2,1.0174,0.9783,0.9979,24.7863,23.9710,34.1076,33.0324,4.5543,5.7500,41.4614,45.7955,0.0069,0.0077
14/03/2017 10:00:02,2,1.0269,0.9879,1.0074,24.6886,24.3913,34.1781,33.4270,4.8688,5.4246,41.1586,44.5981,0.0068,0.0075
14/03/2017 12:00:03,2,1.0531,1.0140,1.0335,24.7587,25.0658,34.3065,33.3444,6.1383,5.7377,40.5958,45.2902,0.0063,0.0075
14/03/2017 14:00:02,2,1.0914,1.0522,1.0718,24.9040,27.1912,34.3933,33.1877,8.1682,6.0414,40.2565,46.2057,0.0058,0.0075
14/03/2017 16:00:00,2,1.1267,1.0875,1.1071,25.0325,28.2875,34.4844,33.3148,7.6044,6.1910,40.0057,46.1510,0.0057,0.0073
14/03/2017 18:00:05,2,1.1314,1.0923,1.1119,25.0585,27.7695,34.5639,33.4670,7.2025,6.4132,39.6411,46.1155,0.0056,0.0071
14/03/2017 20:00:05,2,1.1288,1.0896,1.1092,25.0075,26.8125,34.6515,33.5845,6.2402,6.6705,39.1607,46.3291,0.0057,0.0071
14/03/2017 22:00:08,2,1.1236,1.0845,1.1041,24.9404,26.3081,34.7385,33.6944,5.5769,6.8568,38.6413,46.8374,0.0057,0.0072
15/03/2017 00:00:05,2,1.1128,1.0736,1.0932,24.8763,26.1491,34.8157,33.8400,5.1461,6.7899,38.1835,47.4119,0.0057,0.0075
15/03/2017 02:00:02,2,1.1041,1.0650,1.0845,24.8147,25.4979,34.8890,34.0783,4.8716,7.2027,37.7564,45.0709,0.0058,0.0068
15/03/2017 04:00:06,2,1.0906,1.0514,1.0710,24.7558,24.8207,34.9482,34.3434,4.8970,6.4199,37.5924,43.0295,0.0058,0.0065
15/03/2017 06:00:02,2,1.0810,1.0418,1.0614,24.7000,24.3147,34.9718,34.5159,4.9394,5.7481,37.7323,41.6353,0.0058,0.0063
15/03/2017 08:00:07,2,1.0788,1.0396,1.0592,24.4263,24.2346,34.8431,34.7503,5.0935,5.2598,39.3263,39.7834,0.0060,0.0061
15/03/2017 10:00:04,2,1.0919,1.0528,1.0724,24.2790,24.4260,34.7911,34.7860,5.3654,5.2703,39.6632,39.7097,0.0060,0.0060
15/03/2017 12:00:06,2,1.1041,1.0651,1.0846,24.5339,25.6912,34.8510,34.7917,7.2048,5.2744,39.3690,39.6825,0.0055,0.0059
15/03/2017 14:00:03,2,1.1405,1.1014,1.1210,24.7138,25.6253,34.9263,34.9202,7.9713,5.6247,38.9529,38.7806,0.0053,0.0056
15/03/2017 16:00:01,2,1.1779,1.1388,1.1584,25.1436,25.1196,35.0417,35.0447,6.2714,6.2702,37.9997,37.9826,0.0053,0.0053
15/03/2017 18:00:09,2,1.1843,1.1453,1.1648,25.0059,24.9812,35.1076,35.1087,6.2587,6.2591,37.6116,37.6075,0.0052,0.0052
15/03/2017 20:00:06,2,1.1796,1.1405,1.1600,24.6870,24.6611,35.1455,35.1462,6.0104,6.0119,37.4357,37.4354,0.0052,0.0052
15/03/2017 22:00:05,2,1.1770,1.1379,1.1574,24.3800,24.3538,35.1740,35.1749,5.7708,5.7720,37.3377,37.3345,0.0052,0.0052
16/03/2017 00:00:04,2,1.1672,1.1282,1.1477,24.0412,24.0118,35.2003,35.2018,5.5617,5.5629,37.2735,37.2672,0.0052,0.0052
16/03/2017 02:00:09,2,1.1588,1.1197,1.1393,23.6406,23.6057,35.2340,35.2367,5.4090,5.4113,37.1736,37.1580,0.0052,0.0052
16/03/2017 04:00:06,2,1.1523,1.1133,1.1328,23.1560,23.1192,35.2738,35.2771,5.3552,5.3600,37.0514,37.0317,0.0052,0.0052
16/03/2017 06:00:03,2,1.1383,1.0993,1.1188,22.6654,22.6285,35.3056,35.3083,5.3393,5.3465,37.0016,36.9891,0.0052,0.0052
16/03/2017 08:00:02,2,1.1253,1.0863,1.1058,22.2057,22.1723,35.3203,35.3229,5.3533,5.3607,37.1069,37.0955,0.0053,0.0053
16/03/2017 10:00:06,2,1.1147,1.0757,1.0952,22.2646,22.3285,35.3150,35.3266,5.7444,5.7083,37.3581,37.3064,0.0052,0.0052
16/03/2017 12:00:04,2,1.1079,1.0688,1.0884,22.5201,23.3145,35.2742,35.3457,7.2034,6.1170,37.7737,37.4397,0.0049,0.0051
16/03/2017 14:00:02,2,1.1161,1.0770,1.0966,23.1265,24.1024,35.2616,35.3600,8.1226,6.4820,37.9886,37.5930,0.0047,0.0050
16/03/2017 16:00:02,2,1.1259,1.0869,1.1064,24.2323,24.2110,35.4193,35.4223,7.1410,7.1386,37.2978,37.2929,0.0048,0.0048
16/03/2017 18:00:08,2,1.1274,1.0884,1.1079,23.9487,23.8998,35.4918,35.4932,7.1915,7.1909,36.9706,36.9790,0.0047,0.0047
16/03/2017 20:00:05,2,1.1170,1.0780,1.0975,23.3086,23.2598,35.5350,35.5356,6.9032,6.9039,36.8840,36.8999,0.0047,0.0047
16/03/2017 22:00:00,2,1.1029,1.0640,1.0835,22.6914,22.6451,35.5550,35.5555,6.6936,6.6960,37.0183,37.0341,0.0047,0.0047
17/03/2017 00:00:05,2,1.0838,1.0449,1.0643,22.1255,22.0828,35.5541,35.5549,6.5308,6.5338,37.3260,37.3353,0.0048,0.0048
17/03/2017 02:00:05,2,1.0657,1.0267,1.0462,21.5778,21.5362,35.5123,35.5127,6.3825,6.3859,37.9825,37.9943,0.0049,0.0049
17/03/2017 04:00:08,2,1.0509,1.0119,1.0314,21.0571,21.0171,35.4329,35.4330,6.2386,6.2422,38.9361,38.9494,0.0050,0.0050
17/03/2017 06:00:05,2,1.0357,0.9966,1.0161,20.5874,20.5510,35.3435,35.3433,6.0824,6.0859,39.9083,39.9207,0.0052,0.0052
17/03/2017 08:00:04,2,1.0247,0.9856,1.0052,20.2943,20.2710,35.2496,35.2482,6.0393,6.0426,40.8271,40.8535,0.0053,0.0053
17/03/2017 10:00:01,2,1.0160,0.9770,0.9965,20.4949,20.5832,35.1143,35.0695,6.4955,6.3719,41.8902,42.1242,0.0054,0.0056
17/03/2017 12:00:02,2,1.0079,0.9688,0.9883,20.8405,21.9885,35.0672,34.5489,8.1267,6.6341,42.3007,44.2161,0.0052,0.0066
17/03/2017 14:00:06,2,0.9996,0.9605,0.9801,21.1005,23.4633,35.0958,33.9805,10.6596,6.9863,42.1804,45.9474,0.0046,0.0080
17/03/2017 16:00:06,2,1.0032,0.9638,0.9835,21.3638,24.3476,35.0610,33.4866,12.2523,7.3814,42.3416,47.1488,0.0043,0.0088
17/03/2017 18:00:06,2,1.0059,0.9667,0.9863,21.6038,24.3145,34.9742,33.1327,12.0029,7.5552,42.6699,47.6309,0.0044,0.0091
17/03/2017 20:00:05,2,1.0043,0.9652,0.9848,21.9028,23.8093,34.8182,33.0523,10.2585,7.6645,43.1763,47.6985,0.0049,0.0092
17/03/2017 22:00:06,2,1.0012,0.9622,0.9817,22.2799,22.9182,34.4701,33.1418,8.5684,7.7634,44.1805,47.6376,0.0059,0.0091
18/03/2017 00:00:05,2,0.9912,0.9523,0.9718,22.3921,22.1243,34.1594,33.4309,7.1783,7.5869,45.1114,47.2631,0.0068,0.0085
18/03/2017 02:00:05,2,0.9797,0.9407,0.9602,21.6087,21.5642,33.5699,33.5706,7.2441,7.2477,47.1176,47.1241,0.0083,0.0083
18/03/2017 04:00:05,2,0.9686,0.9297,0.9492,20.9922,20.9481,33.4846,33.4855,7.0933,7.0967,47.5180,47.5225,0.0085,0.0085
18/03/2017 06:00:01,2,0.9569,0.9179,0.9374,20.3778,20.3349,33.4775,33.4790,6.9382,6.9411,47.7381,47.7408,0.0086,0.0086
18/03/2017 08:00:04,2,0.9435,0.9045,0.9240,19.9957,19.9741,33.4974,33.4991,6.9053,6.9056,47.9003,47.9039,0.0086,0.0086
18/03/2017 10:00:01,2,0.9336,0.8946,0.9141,20.3709,20.7327,33.5316,33.5439,7.4652,7.2076,48.0059,48.0422,0.0082,0.0083
18/03/2017 12:00:08,2,0.9297,0.8906,0.9101,20.6202,22.9514,33.5907,33.6508,9.6839,7.3000,47.9601,48.2188,0.0072,0.0081
18/03/2017 14:00:07,2,0.9276,0.8885,0.9081,20.9381,25.5585,33.6599,33.7459,10.5830,7.4311,47.8985,48.4751,0.0067,0.0078
18/03/2017 16:00:09,2,0.9294,0.8903,0.9098,21.2003,27.1508,33.7070,33.8591,10.7312,7.5452,47.8712,48.6086,0.0064,0.0075
18/03/2017 18:00:03,2,0.9512,0.9121,0.9317,21.3032,26.6212,33.7486,34.0035,10.4140,7.4771,47.8317,48.3366,0.0063,0.0072
18/03/2017 20:00:02,2,0.9694,0.9303,0.9498,21.3032,24.0850,33.7882,33.8811,9.3927,7.6393,47.7949,48.1915,0.0064,0.0072
18/03/2017 22:00:05,2,0.9759,0.9368,0.9564,21.3259,23.1878,33.8249,33.9106,8.4672,7.8131,47.7705,47.9516,0.0064,0.0071
19/03/2017 00:00:06,2,0.9711,0.9320,0.9516,21.4080,22.5998,33.8782,33.9312,7.3785,8.0242,47.6812,47.7361,0.0065,0.0070
19/03/2017 02:00:03,2,0.9632,0.9241,0.9437,21.5243,22.2637,33.9681,33.9509,6.3701,8.0828,47.4191,47.6196,0.0067,0.0068
19/03/2017 04:00:03,2,0.9535,0.9144,0.9339,21.6171,21.8830,34.1013,33.9919,5.5037,7.9916,46.8832,47.4501,0.0068,0.0067
19/03/2017 06:00:03,2,0.9455,0.9065,0.9260,21.4931,21.4272,34.0926,34.0804,6.9786,7.0932,47.0321,47.1064,0.0067,0.0067
19/03/2017 08:00:02,2,0.9366,0.8975,0.9171,21.2394,21.2206,34.1166,34.1157,6.9784,6.9805,47.0326,47.0480,0.0066,0.0067
19/03/2017 10:00:07,2,0.9301,0.8911,0.9106,21.5284,21.7415,34.1559,34.1164,7.6758,7.3631,46.9544,47.2007,0.0063,0.0064
19/03/2017 12:00:00,2,0.9277,0.8887,0.9082,21.8514,23.0912,34.3202,34.1144,9.9904,7.7316,46.0975,47.4293,0.0055,0.0063
19/03/2017 14:00:02,2,0.9359,0.8967,0.9163,22.2101,24.3963,34.5001,34.1244,11.2777,7.9704,45.0861,47.6045,0.0049,0.0061
19/03/2017 16:00:05,2,0.9409,0.9017,0.9213,22.4685,25.0544,34.5775,34.2425,11.3955,7.9684,44.7063,47.2745,0.0047,0.0060
19/03/2017 18:00:00,2,0.9690,0.9298,0.9494,22.5088,24.5796,34.6073,34.3233,11.8505,8.0756,44.5740,46.9762,0.0045,0.0058
19/03/2017 20:00:05,2,0.9891,0.9500,0.9695,22.5714,23.9533,34.5983,34.3283,10.3629,8.3814,44.8484,47.0000,0.0046,0.0057
19/03/2017 22:00:00,2,1.0007,0.9617,0.9812,22.6561,23.5652,34.6045,34.3444,8.7157,8.4612,45.1864,46.9980,0.0050,0.0056
20/03/2017 00:00:01,2,1.0026,0.9636,0.9831,22.7481,23.1630,34.6293,34.3655,7.4558,8.4613,45.5059,47.0178,0.0053,0.0056
