Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top)
27/09/2016 00:00:08,1,1.0638,1.0638,1.0638,14.5105,14.4848,28.2198,28.2206,8.4522,8.4540
27/09/2016 02:00:03,1,1.0641,1.0641,1.0641,14.3339,14.3237,28.2443,28.2458,8.3862,8.3942
27/09/2016 04:00:06,1,1.0664,1.0664,1.0664,14.2655,14.2517,28.2588,28.2599,8.3731,8.3864
27/09/2016 06:00:07,1,1.0919,1.0919,1.0919,14.1791,14.1631,28.2390,28.2385,8.4163,8.4291
27/09/2016 08:00:04,1,1.1348,1.1348,1.1348,14.2095,14.2127,28.2255,28.2269,8.5299,8.5315
27/09/2016 10:00:08,1,1.1962,1.1962,1.1962,14.4690,14.4635,28.3826,28.3867,8.5681,8.5642
27/09/2016 12:00:08,1,1.1950,1.1950,1.1950,14.9212,14.9576,28.5701,28.5743,8.6110,8.6040
27/09/2016 14:00:08,1,1.1597,1.1597,1.1597,15.4406,15.4547,28.6709,28.6760,8.7140,8.7052
27/09/2016 16:00:01,1,1.1205,1.1205,1.1205,15.7960,15.7881,28.7475,28.7519,8.7752,8.7693
27/09/2016 18:00:06,1,1.1159,1.1159,1.1159,15.6375,15.5992,28.7694,28.7710,8.6645,8.6618
27/09/2016 20:00:03,1,1.1142,1.1142,1.1142,15.2059,15.1634,28.7426,28.7445,8.5336,8.5353
27/09/2016 22:00:08,1,1.1000,1.1000,1.1000,14.7807,14.7373,28.7200,28.7220,8.4717,8.4730
28/09/2016 00:00:05,1,1.0910,1.0910,1.0910,14.3534,14.3089,28.6966,28.6990,8.4373,8.4376
28/09/2016 02:00:02,1,1.0916,1.0916,1.0916,13.9613,13.9195,28.6706,28.6720,8.4163,8.4172
28/09/2016 04:00:07,1,1.1011,1.1011,1.1011,13.6337,13.5957,28.6476,28.6488,8.3832,8.3842
28/09/2016 06:00:03,1,1.0925,1.0925,1.0925,13.2207,13.1727,28.6147,28.6112,8.3376,8.3410
28/09/2016 08:00:07,1,1.0847,1.0847,1.0847,13.0154,12.9192,28.5145,28.4529,8.4036,8.3961
28/09/2016 10:00:03,1,1.0847,1.0847,1.0847,13.1872,13.4387,28.5019,27.9315,8.9693,8.5565
28/09/2016 12:00:06,1,1.0779,1.0779,1.0779,13.5113,15.0240,28.4811,24.7227,9.3079,8.8888
28/09/2016 14:00:03,1,1.0658,1.0658,1.0658,13.9324,16.8679,28.4585,22.8103,9.1466,9.0396
28/09/2016 16:00:07,1,1.0549,1.0549,1.0549,14.1492,17.6948,28.4637,22.9618,9.1794,9.0767
28/09/2016 18:00:05,1,1.0425,1.0425,1.0425,14.2649,17.1138,28.4641,23.7174,9.0202,9.0820
28/09/2016 20:00:03,1,1.0346,1.0346,1.0346,14.3203,15.9733,28.4703,24.3604,8.6691,9.0525
28/09/2016 22:00:06,1,1.0304,1.0304,1.0304,14.3694,15.3106,28.4901,24.5685,8.4668,9.0386
29/09/2016 00:00:04,1,1.0247,1.0247,1.0247,14.4085,14.7800,28.5195,24.3247,8.3588,9.0215
29/09/2016 02:00:06,1,1.0186,1.0186,1.0186,14.4336,13.8941,28.5476,23.9107,8.3159,9.0122
29/09/2016 04:00:03,1,1.0133,1.0133,1.0133,14.4503,12.9501,28.5038,24.0523,8.2831,8.9737
29/09/2016 06:00:05,1,1.0068,1.0068,1.0068,14.4337,12.6415,28.4426,24.6116,7.9070,8.9598
29/09/2016 08:00:00,1,1.0033,1.0033,1.0033,14.2898,12.5240,27.9004,24.9552,7.6977,8.9677
29/09/2016 10:00:05,1,1.0151,1.0151,1.0151,14.0306,13.1746,27.2904,25.2086,8.1072,8.9920
29/09/2016 12:00:02,1,1.0125,1.0125,1.0125,14.0503,15.8053,26.9745,25.0039,9.2420,9.0885
29/09/2016 14:00:08,1,1.0032,1.0032,1.0032,14.3040,16.7277,27.1162,24.6705,10.1200,9.1844
29/09/2016 16:00:01,1,0.9981,0.9981,0.9981,14.5178,16.5289,27.3977,24.8027,10.3986,9.2445
29/09/2016 18:00:09,1,0.9874,0.9874,0.9874,14.5974,15.4980,27.7416,25.2275,9.7270,9.2478
29/09/2016 20:00:07,1,0.9873,0.9873,0.9873,14.6048,14.4185,28.0662,25.8029,8.6350,9.2269
29/09/2016 22:00:09,1,1.0026,1.0026,1.0026,14.6516,13.8694,28.2219,26.2318,8.1614,9.2509
30/09/2016 00:00:00,1,1.0101,1.0101,1.0101,14.6843,13.3493,28.2860,26.1302,7.7982,9.3059
30/09/2016 02:00:01,1,1.0048,1.0048,1.0048,14.7286,13.0002,28.2899,25.9654,7.4739,9.2944
30/09/2016 04:00:01,1,0.9959,0.9959,0.9959,14.7561,13.5665,28.2127,26.7449,7.2337,9.1527
30/09/2016 06:00:04,1,0.9975,0.9975,0.9975,14.4770,13.6235,27.8444,27.0836,7.6757,8.9701
30/09/2016 08:00:01,1,1.0348,1.0348,1.0348,13.8006,13.8131,27.3792,27.3870,8.7839,8.7923
30/09/2016 10:00:02,1,1.0707,1.0707,1.0707,14.1553,14.2053,27.5305,27.5387,8.8718,8.8664
30/09/2016 12:00:06,1,1.0776,1.0776,1.0776,14.9491,15.2053,27.5782,27.6002,9.1529,9.0114
30/09/2016 14:00:07,1,1.0615,1.0615,1.0615,15.7165,16.2247,27.6365,27.6653,9.4402,9.0968
30/09/2016 16:00:03,1,1.0614,1.0614,1.0614,16.6501,16.6974,27.7617,27.7719,9.2098,9.1601
30/09/2016 18:00:02,1,1.0578,1.0578,1.0578,16.6583,16.6251,27.8678,27.8712,9.0564,9.0507
30/09/2016 20:00:01,1,1.0612,1.0612,1.0612,16.2508,16.2149,27.9633,27.9663,8.8361,8.8365
30/09/2016 22:00:06,1,1.0977,1.0977,1.0977,15.9076,15.8728,28.0666,28.0694,8.7269,8.7296
01/10/2016 00:00:08,1,1.1273,1.1273,1.1273,15.5734,15.5379,28.1488,28.1524,8.6603,8.6645
01/10/2016 02:00:04,1,1.1373,1.1373,1.1373,15.3347,15.3156,28.2209,28.2247,8.6170,8.6209
01/10/2016 04:00:07,1,1.1498,1.1498,1.1498,15.1167,15.0968,28.2956,28.2990,8.5852,8.5887
01/10/2016 06:00:02,1,1.1538,1.1538,1.1538,14.7074,14.6764,28.3921,28.3958,8.5460,8.5478
01/10/2016 08:00:03,1,1.1666,1.1666,1.1666,14.3398,14.3096,28.5089,28.5121,8.5149,8.5163
01/10/2016 10:00:00,1,1.1922,1.1922,1.1922,14.3500,14.3676,28.5771,28.5796,8.5506,8.5502
01/10/2016 12:00:05,1,1.2205,1.2205,1.2205,14.5176,14.4992,28.6003,28.6023,8.6438,8.6420
01/10/2016 14:00:02,1,1.2260,1.2260,1.2260,14.5552,14.5635,28.6048,28.6066,8.6739,8.6709
01/10/2016 16:00:02,1,1.2198,1.2198,1.2198,14.9090,14.9063,28.6018,28.6040,8.7545,8.7497
01/10/2016 18:00:00,1,1.2107,1.2107,1.2107,14.8120,14.7735,28.5847,28.5864,8.7329,8.7325
01/10/2016 20:00:07,1,1.2067,1.2067,1.2067,14.4455,14.4037,28.5469,28.5481,8.6427,8.6448
01/10/2016 22:00:07,1,1.2111,1.2111,1.2111,14.1393,14.0976,28.4756,28.4746,8.6149,8.6185
02/10/2016 00:00:06,1,1.2080,1.2080,1.2080,13.8430,13.8025,28.4210,28.4208,8.5978,8.6016
02/10/2016 02:00:07,1,1.2034,1.2034,1.2034,13.5769,13.5384,28.3646,28.3641,8.5917,8.5958
02/10/2016 04:00:00,1,1.1913,1.1913,1.1913,13.3312,13.2941,28.3151,28.3156,8.5928,8.5967
02/10/2016 06:00:01,1,1.1738,1.1738,1.1738,13.0817,13.0454,28.2821,28.2833,8.5973,8.6007
02/10/2016 08:00:03,1,1.1630,1.1630,1.1630,13.1246,13.1453,28.2469,28.2481,8.6634,8.6639
02/10/2016 10:00:05,1,1.1641,1.1641,1.1641,13.5713,13.5812,28.2159,28.2166,8.8044,8.7953
02/10/2016 12:00:06,1,1.1559,1.1559,1.1559,13.7243,13.9247,28.1973,28.2047,8.8491,8.8024
02/10/2016 14:00:04,1,1.1454,1.1454,1.1454,14.1148,14.7734,28.1821,28.1998,9.3524,8.8894
02/10/2016 16:00:04,1,1.1352,1.1352,1.1352,14.8046,15.0772,28.1764,28.1832,9.1146,8.9627
02/10/2016 18:00:01,1,1.1253,1.1253,1.1253,14.8756,14.8426,28.1704,28.1711,8.9177,8.9173
02/10/2016 20:00:08,1,1.1194,1.1194,1.1194,14.4613,14.4249,28.1563,28.1564,8.8055,8.8078
02/10/2016 22:00:02,1,1.1164,1.1164,1.1164,14.1103,14.0764,28.1479,28.1481,8.7410,8.7448
03/10/2016 00:00:06,1,1.1142,1.1142,1.1142,13.9436,13.9271,28.1449,28.1452,8.7000,8.7093
03/10/2016 02:00:01,1,1.1095,1.1095,1.1095,13.8452,13.8294,28.1467,28.1474,8.6675,8.6766
03/10/2016 04:00:01,1,1.0994,1.0994,1.0994,13.7505,13.7350,28.1517,28.1525,8.6363,8.6456
03/10/2016 06:00:01,1,1.0891,1.0891,1.0891,13.6656,13.6508,28.1571,28.1576,8.6112,8.6219
03/10/2016 08:00:03,1,1.0799,1.0799,1.0799,13.7259,13.7976,28.1617,28.1635,8.6696,8.6703
03/10/2016 10:00:00,1,1.0712,1.0712,1.0712,14.0986,14.6028,28.1681,28.1805,9.0700,8.8270
03/10/2016 12:00:01,1,1.0657,1.0657,1.0657,14.3737,14.8439,28.1796,28.2092,9.2902,8.9113
03/10/2016 14:00:09,1,1.0634,1.0634,1.0634,14.6351,16.1528,28.1926,28.2712,9.9074,8.9418
03/10/2016 16:00:04,1,1.0523,1.0523,1.0523,14.8432,16.5246,28.1953,28.3278,10.7995,9.0413
03/10/2016 18:00:06,1,1.0435,1.0435,1.0435,15.1983,16.2505,28.2205,28.3372,10.4768,9.1551
03/10/2016 20:00:06,1,1.0413,1.0413,1.0413,15.6460,15.6530,28.3036,28.3119,9.1760,9.1773
03/10/2016 22:00:03,1,1.0507,1.0507,1.0507,15.3290,15.3084,28.2986,28.2998,9.0111,9.0179
04/10/2016 00:00:08,1,1.0712,1.0712,1.0712,15.0811,15.0565,28.2967,28.2953,8.9269,8.9386
04/10/2016 02:00:02,1,1.0690,1.0690,1.0690,14.8731,14.8452,28.2949,28.2928,8.8697,8.8734
04/10/2016 04:00:04,1,1.0561,1.0561,1.0561,14.6623,14.2239,28.2544,27.9934,8.7349,8.8962
04/10/2016 06:00:08,1,1.0479,1.0479,1.0479,14.6404,12.7582,28.2536,26.0453,8.4152,9.1605
04/10/2016 08:00:01,1,1.0423,1.0423,1.0423,14.6068,13.1070,28.2545,24.7480,8.5347,9.2733
04/10/2016 10:00:05,1,1.0349,1.0349,1.0349,14.6278,13.6922,28.2768,24.6158,8.7000,9.2979
04/10/2016 12:00:07,1,1.0295,1.0295,1.0295,14.7656,15.8065,28.2996,25.2227,9.3829,9.2958
04/10/2016 14:00:00,1,1.0271,1.0271,1.0271,14.9123,16.2493,28.2553,26.0745,10.0138,9.3549
04/10/2016 16:00:06,1,1.0167,1.0167,1.0167,15.0774,17.6443,28.1247,26.0141,10.5574,9.3896
04/10/2016 18:00:03,1,1.0090,1.0090,1.0090,15.1642,17.3032,28.0770,25.8301,10.8264,9.4959
04/10/2016 20:00:01,1,1.0113,1.0113,1.0113,15.1317,16.2636,28.0931,25.8652,9.9656,9.4879
04/10/2016 22:00:08,1,1.0474,1.0474,1.0474,15.0920,15.5446,28.1439,26.2323,9.2942,9.4661
05/10/2016 00:00:06,1,1.0846,1.0846,1.0846,15.1317,15.4175,28.1148,26.5735,8.8553,9.4249
05/10/2016 02:00:03,1,1.0931,1.0931,1.0931,15.2354,15.3923,28.0072,26.7001,8.4625,9.4000
05/10/2016 04:00:07,1,1.0875,1.0875,1.0875,15.3180,15.2610,27.8610,26.6557,8.0952,9.3967
05/10/2016 06:00:06,1,1.0810,1.0810,1.0810,15.3355,14.9541,27.6977,26.4938,7.8102,9.3866
05/10/2016 08:00:02,1,1.0747,1.0747,1.0747,15.3224,15.0240,27.5214,26.2937,7.8960,9.3806
05/10/2016 10:00:03,1,1.0663,1.0663,1.0663,15.4457,16.0982,27.3369,26.1375,8.7845,9.4234
05/10/2016 12:00:00,1,1.0606,1.0606,1.0606,15.7354,17.6537,27.0975,26.0424,10.1602,9.4730
05/10/2016 14:00:06,1,1.0566,1.0566,1.0566,16.2695,19.0782,26.8274,25.9546,11.4826,9.5452
05/10/2016 16:00:03,1,1.0495,1.0495,1.0495,16.8820,19.8382,26.6321,25.9090,12.3256,9.6450
05/10/2016 18:00:06,1,1.0461,1.0461,1.0461,17.4756,19.8362,26.4631,25.9185,12.1473,9.7146
05/10/2016 20:00:06,1,1.0543,1.0543,1.0543,17.8628,19.2944,26.3329,25.9864,10.8194,9.7427
05/10/2016 22:00:05,1,1.1014,1.1014,1.1014,18.2142,18.5170,26.2609,26.2305,9.8836,9.7794
06/10/2016 00:00:09,1,1.1465,1.1465,1.1465,17.9628,17.9269,26.4278,26.4337,9.6219,9.6228
06/10/2016 02:00:07,1,1.1779,1.1779,1.1779,17.4752,17.4408,26.6275,26.6324,9.4305,9.4320
06/10/2016 04:00:09,1,1.1835,1.1835,1.1835,17.1229,17.1050,26.7481,26.7548,9.2313,9.2343
06/10/2016 06:00:06,1,1.1752,1.1752,1.1752,16.9744,16.9573,26.8561,26.8619,9.0671,9.0722
06/10/2016 08:00:04,1,1.1684,1.1684,1.1684,17.0014,17.0133,26.9887,26.9963,9.0024,9.0063
06/10/2016 10:00:05,1,1.1703,1.1703,1.1703,17.5034,17.6100,27.1609,27.1745,9.1232,9.0980
06/10/2016 12:00:07,1,1.1521,1.1521,1.1521,17.8752,18.9030,27.1856,27.2186,10.0131,9.1724
06/10/2016 14:00:09,1,1.1425,1.1425,1.1425,18.2463,19.9511,27.2785,27.2678,11.1717,9.2647
06/10/2016 16:00:09,1,1.1492,1.1492,1.1492,18.9036,20.4834,27.3536,27.4653,11.5192,9.4246
06/10/2016 18:00:07,1,1.1256,1.1256,1.1256,19.2311,20.5820,27.4121,27.4230,11.5536,9.6082
06/10/2016 20:00:05,1,1.1204,1.1204,1.1204,19.3639,20.1761,27.5267,27.4422,10.4310,9.6774
06/10/2016 22:00:03,1,1.1687,1.1687,1.1687,19.5750,19.7486,27.7013,27.6946,9.5060,9.5638
07/10/2016 00:00:08,1,1.2010,1.2010,1.2010,19.4433,19.4087,27.7633,27.7611,9.4028,9.4065
07/10/2016 02:00:03,1,1.2138,1.2138,1.2138,19.1610,19.1306,27.7853,27.7813,9.2924,9.2957
07/10/2016 04:00:07,1,1.2215,1.2215,1.2215,19.0277,17.7841,27.7979,26.5967,9.1228,9.2684
07/10/2016 06:00:09,1,1.2210,1.2210,1.2210,19.0313,16.2488,27.8879,24.7601,9.0268,9.2242
07/10/2016 08:00:08,1,1.2183,1.2183,1.2183,19.0488,17.0724,27.9695,25.7669,9.0084,9.1959
07/10/2016 10:00:05,1,1.2134,1.2134,1.2134,19.0970,18.5150,27.9532,26.2444,9.5823,9.2979
07/10/2016 12:00:00,1,1.2094,1.2094,1.2094,19.2021,19.6370,27.5858,26.0250,10.5199,9.3456
07/10/2016 14:00:02,1,1.2010,1.2010,1.2010,19.4983,20.7591,27.2479,25.8364,11.4555,9.3970
07/10/2016 16:00:04,1,1.1886,1.1886,1.1886,19.8083,21.3074,26.9889,25.8400,11.8555,9.5028
07/10/2016 18:00:00,1,1.1836,1.1836,1.1836,19.9826,21.1134,26.8213,26.2197,11.6974,9.6809
07/10/2016 20:00:06,1,1.1844,1.1844,1.1844,20.1188,20.5957,26.7511,26.4884,10.5553,9.7202
07/10/2016 22:00:02,1,1.2237,1.2237,1.2237,20.1627,20.1325,26.9048,26.9094,9.6225,9.6233
08/10/2016 00:00:07,1,1.2689,1.2689,1.2689,19.8438,19.8125,27.0764,27.0794,9.4231,9.4238
08/10/2016 02:00:04,1,1.3096,1.3096,1.3096,19.5292,19.4987,27.2059,27.2120,9.2487,9.2513
08/10/2016 04:00:00,1,1.3429,1.3429,1.3429,19.2066,19.1745,27.3068,27.3105,9.0735,9.0762
08/10/2016 06:00:03,1,1.3429,1.3429,1.3429,18.8489,18.8165,27.4140,27.4240,8.8978,8.9031
08/10/2016 08:00:04,1,1.3322,1.3322,1.3322,18.6182,18.6053,27.6825,27.6948,8.7933,8.7963
