Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
04/07/2016 00:00:07,1,1.2606,1.2606,1.2606,12.4152,12.3809,37.3007,37.3005,7.5195,7.5254,96.1291,96.1613,0.0091,0.0091
04/07/2016 02:00:02,1,1.2484,1.2484,1.2484,12.1373,12.1046,37.2880,37.2881,7.5056,7.5099,96.7079,96.7240,0.0092,0.0092
04/07/2016 04:00:05,1,1.2396,1.2396,1.2396,11.8671,11.8353,37.2810,37.2811,7.4779,7.4816,97.1079,97.1207,0.0093,0.0093
04/07/2016 06:00:07,1,1.2349,1.2349,1.2349,11.6080,11.5770,37.2736,37.2739,7.4495,7.4524,97.4253,97.4325,0.0094,0.0094
04/07/2016 08:00:07,1,1.2356,1.2356,1.2356,11.3285,11.2979,37.2900,37.2898,7.3805,7.3857,97.3020,97.3151,0.0093,0.0093
04/07/2016 10:00:03,1,1.2775,1.2775,1.2775,11.1872,11.1841,37.3374,37.3388,7.3067,7.3045,94.7141,94.6528,0.0088,0.0087
04/07/2016 12:00:05,1,1.2857,1.2857,1.2857,11.3667,11.7792,37.3461,37.3446,7.6339,7.4261,93.7878,94.6702,0.0086,0.0087
04/07/2016 14:00:05,1,1.2938,1.2938,1.2938,11.4905,12.2703,37.3433,37.3059,8.1332,7.5749,93.0583,96.8704,0.0085,0.0091
04/07/2016 16:00:00,1,1.2795,1.2795,1.2795,11.5211,12.1441,37.3353,37.2688,7.9893,7.6613,92.7974,98.2656,0.0085,0.0094
04/07/2016 18:00:04,1,1.2665,1.2665,1.2665,11.5264,12.0092,37.3283,37.2409,7.7917,7.7235,92.6040,99.1434,0.0085,0.0095
04/07/2016 20:00:06,1,1.2533,1.2533,1.2533,11.5283,11.6724,37.3229,37.2257,7.4168,7.7555,92.4143,99.1085,0.0085,0.0096
04/07/2016 22:00:02,1,1.2387,1.2387,1.2387,11.4656,11.4000,37.2458,37.2341,7.5842,7.6776,97.4546,98.1373,0.0093,0.0094
05/07/2016 00:00:03,1,1.2275,1.2275,1.2275,11.2227,11.1964,37.2280,37.2281,7.6140,7.6171,98.4916,98.5017,0.0095,0.0095
05/07/2016 02:00:05,1,1.2179,1.2179,1.2179,11.0159,10.9890,37.2222,37.2224,7.5730,7.5761,98.8463,98.8564,0.0096,0.0096
05/07/2016 04:00:03,1,1.2099,1.2099,1.2099,10.8000,10.7720,37.2177,37.2179,7.5366,7.5399,99.2031,99.2172,0.0096,0.0096
05/07/2016 06:00:07,1,1.2057,1.2057,1.2057,10.5699,10.5422,37.2144,37.2146,7.5015,7.5044,99.6011,99.6120,0.0097,0.0097
05/07/2016 08:00:06,1,1.2314,1.2314,1.2314,10.2937,10.2649,37.2394,37.2405,7.4347,7.4374,99.2733,99.2322,0.0096,0.0096
05/07/2016 10:00:02,1,1.2744,1.2744,1.2744,10.3818,10.3768,37.2953,37.2973,7.3696,7.3765,94.9920,94.8940,0.0087,0.0087
05/07/2016 12:00:03,1,1.3121,1.3121,1.3121,10.6315,10.7797,37.3349,37.3418,7.4327,7.4262,90.7227,90.4401,0.0079,0.0079
05/07/2016 14:00:01,1,1.3153,1.3153,1.3153,10.7302,10.8156,37.3267,37.3286,7.5217,7.5611,91.6937,92.6322,0.0081,0.0082
05/07/2016 16:00:08,1,1.3051,1.3051,1.3051,10.7532,10.7948,37.3074,37.3007,7.5487,7.6310,93.9931,95.0914,0.0085,0.0087
05/07/2016 18:00:08,1,1.2910,1.2910,1.2910,10.7455,10.7583,37.2981,37.2760,7.4312,7.6878,94.6083,96.9573,0.0087,0.0090
05/07/2016 20:00:03,1,1.2792,1.2792,1.2792,10.7289,10.6890,37.2853,37.2617,7.3255,7.6836,95.8990,97.8355,0.0089,0.0091
05/07/2016 22:00:01,1,1.2659,1.2659,1.2659,10.6492,10.6362,37.2564,37.2556,7.5706,7.6069,98.1165,98.2593,0.0092,0.0092
06/07/2016 00:00:03,1,1.2538,1.2538,1.2538,10.5537,10.5306,37.2477,37.2476,7.5541,7.5591,98.7226,98.7416,0.0093,0.0093
06/07/2016 02:00:02,1,1.2449,1.2449,1.2449,10.3662,10.3441,37.2430,37.2430,7.4936,7.4956,99.1148,99.1200,0.0094,0.0094
