Time,Number of Cells,Max Depth,Min Depth,Ave Depth,Temp (Bottom), Temp (Top), Salinity (Bottom), Salinity (Top),Oxygen (Bottom),Oxygen (top),Age (Bottom),Age (top),NH4 (Bottom),NH4 (top)
27/03/2017 00:00:08,3,1.4215,1.1125,1.2205,23.5736,23.5417,36.8042,36.8050,6.1522,6.1538,51.0550,51.0540,0.0035,0.0035
27/03/2017 02:00:05,3,1.4115,1.1025,1.2105,23.2392,23.2093,36.8073,36.8079,6.1183,6.1200,50.9447,50.9428,0.0036,0.0036
27/03/2017 04:00:06,3,1.4082,1.0991,1.2071,22.9190,22.8893,36.8098,36.8104,6.0752,6.0775,50.8693,50.8653,0.0036,0.0036
27/03/2017 06:00:02,3,1.3986,1.0896,1.1976,22.5904,22.5591,36.8133,36.8140,6.0373,6.0399,50.8105,50.8063,0.0036,0.0036
27/03/2017 08:00:00,3,1.3973,1.0883,1.1963,22.3522,22.3294,36.8156,36.8166,6.0758,6.0810,50.6485,50.6350,0.0037,0.0037
27/03/2017 10:00:01,3,1.4085,1.0996,1.2075,22.4884,22.5032,36.8186,36.8207,6.2942,6.2898,50.3920,50.3561,0.0037,0.0037
27/03/2017 12:00:07,3,1.4288,1.1199,1.2278,22.8730,22.9221,36.8266,36.8298,6.4989,6.4846,50.2025,50.1626,0.0036,0.0036
27/03/2017 14:00:03,3,1.4390,1.1301,1.2380,23.2779,23.3760,36.8395,36.8443,6.6258,6.6002,50.0857,50.0648,0.0036,0.0036
27/03/2017 16:00:03,3,1.4341,1.1252,1.2331,23.6593,23.6902,36.8573,36.8616,6.6981,6.6811,50.0826,50.0787,0.0035,0.0035
27/03/2017 18:00:08,3,1.4242,1.1152,1.2232,23.5544,23.5220,36.8737,36.8749,6.6850,6.6858,50.1313,50.1303,0.0034,0.0034
27/03/2017 20:00:08,3,1.4143,1.1053,1.2133,23.1993,23.1686,36.8845,36.8853,6.5961,6.5977,50.1850,50.1837,0.0035,0.0035
27/03/2017 22:00:05,3,1.4052,1.0961,1.2041,22.8912,22.8621,36.8919,36.8926,6.5189,6.5206,50.2292,50.2286,0.0035,0.0035
28/03/2017 00:00:01,3,1.3986,1.0895,1.1975,22.5789,22.5481,36.8996,36.9003,6.4527,6.4547,50.2770,50.2754,0.0035,0.0035
28/03/2017 02:00:05,3,1.3893,1.0802,1.1882,22.2809,22.2531,36.9057,36.9062,6.3956,6.3976,50.3089,50.3069,0.0036,0.0036
28/03/2017 04:00:07,3,1.3799,1.0708,1.1788,22.0183,21.9918,36.9092,36.9095,6.3328,6.3345,50.3414,50.3402,0.0036,0.0036
28/03/2017 06:00:08,3,1.3716,1.0624,1.1705,21.7290,21.7000,36.9142,36.9147,6.2712,6.2731,50.3948,50.3937,0.0036,0.0036
28/03/2017 08:00:02,3,1.3661,1.0571,1.1651,21.5114,21.4910,36.9190,36.9197,6.2523,6.2558,50.4122,50.4079,0.0036,0.0036
28/03/2017 10:00:06,3,1.3677,1.0587,1.1666,21.6422,21.8738,36.9202,36.9261,6.5293,6.3681,50.4151,50.3427,0.0035,0.0037
28/03/2017 12:00:08,3,1.3803,1.0712,1.1792,21.7390,23.5261,36.9288,36.9381,7.1532,6.5012,50.7780,49.9364,0.0029,0.0038
28/03/2017 14:00:03,3,1.3973,1.0882,1.1962,21.8429,25.4365,36.9469,36.9641,7.4699,6.6288,51.4634,49.3662,0.0024,0.0040
28/03/2017 16:00:02,3,1.3969,1.0878,1.1958,21.9417,25.6861,36.9593,37.0099,7.4929,6.6492,52.0189,49.1679,0.0021,0.0040
28/03/2017 18:00:04,3,1.3905,1.0813,1.1893,22.0758,24.7994,36.9600,36.9977,7.2790,6.6169,52.1544,49.5618,0.0022,0.0039
28/03/2017 20:00:06,3,1.3823,1.0732,1.1812,22.2452,24.0070,36.9543,37.0070,6.7143,6.5614,51.8690,50.2057,0.0026,0.0038
28/03/2017 22:00:06,3,1.3732,1.0642,1.1721,22.4445,23.2823,36.9596,37.0087,6.2941,6.5214,51.4179,50.6924,0.0032,0.0037
29/03/2017 00:00:01,3,1.3632,1.0542,1.1621,22.5332,22.7380,36.9841,37.0045,6.3186,6.4185,51.1611,50.9702,0.0036,0.0036
29/03/2017 02:00:02,3,1.3548,1.0458,1.1538,22.3369,22.3251,36.9990,37.0045,6.3021,6.3261,51.1556,51.1391,0.0036,0.0036
